Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
236340,KR7236340006,메디젠휴먼케어,KONEX,일반기업부,4800,2,-200,-4.0,4700,5100,4600,3458,16713225,14470305600,3014647,KNX
286000,KR7286000005,씨엔티드림,KONEX,일반기업부,3050,0,0,0.0,0,0,0,0,0,14455237100,4739422,KNX
422040,KR7422040006,엔에이치스팩23호,KOSDAQ,SPAC(소속부없음),2015,0,0,0.0,0,0,0,0,0,14427400000,7160000,KSQ
033790,KR7033790007,스카이문스테크놀로지,KOSDAQ,관리종목(소속부없음),829,0,0,0.0,0,0,0,0,0,14190075900,17117100,KSQ
000225,KR7000221002,유유제약1우,KOSPI,,6300,1,60,0.96,6310,6310,6110,6485,40077340,14168312500,2266930,STK
208850,KR7208850008,이비테크,KONEX,일반기업부,5000,0,0,0.0,0,0,0,0,0,14101250000,2820250,KNX
106520,KR7106520000,노블엠앤비,KOSDAQ,중견기업부,380,2,-45,-10.59,429,434,377,3752710,1480968060,14091245568,36695952,KSQ
430220,KR7430220004,신영스팩8호,KOSDAQ,SPAC(소속부없음),2045,2,-10,-0.49,2050,2055,2045,16882,34576645,13824200000,6760000,KSQ
367480,KR7367480001,유안타제8호스팩,KOSDAQ,SPAC(소속부없음),2070,0,0,0.0,0,0,0,0,0,13434300000,6490000,KSQ
278990,KR7278990007,EMB,KONEX,일반기업부,3700,1,200,5.71,3600,4000,3595,473,1802280,13424421400,3628222,KNX
36328K,KR736328K013,티와이홀딩스우,KOSPI,,10600,1,90,0.86,10510,10680,10400,931,9711230,13294029420,1255338,STK
135160,KR7135160000,무송지오씨,KONEX,일반기업부,1373,5,-242,-14.98,1373,1373,1373,28516,39152468,13148305209,9576333,KNX
412930,KR7412930000,미래에셋비전스팩1호,KOSDAQ,SPAC(소속부없음),2075,3,0,0.0,2070,2080,2065,16366,33875980,12784320000,6176000,KSQ
418170,KR7418170007,하나금융22호스팩,KOSDAQ,SPAC(소속부없음),2110,1,5,0.24,2125,2130,2095,6140,12920915,12681100000,6010000,KSQ
367340,KR7367340007,DB금융스팩8호,KOSDAQ,SPAC(소속부없음),2085,2,-10,-0.48,2100,2100,2065,421,871520,12614250000,6050000,KSQ
438220,KR7438220006,대신밸런스제13호스팩,KOSDAQ,SPAC(소속부없음),2290,2,-5,-0.22,2300,2310,2230,21811,48891210,12605400000,5640000,KSQ
236030,KR7236030003,씨알푸드,KONEX,일반기업부,6280,1,390,6.62,6280,6280,6280,1,6280,12434400000,1980000,KNX
238500,KR7238500003,로보쓰리,KONEX,일반기업부,668,1,10,1.52,658,679,621,116064,75145654,12396097740,18696980,KNX
424760,KR7424760007,IBKS제18호스팩,KOSDAQ,SPAC(소속부없음),2910,1,110,3.93,2755,2930,2755,137634,396526375,12309300000,4230000,KSQ
440200,KR7440200004,케이비제23호스팩,KOSDAQ,SPAC(소속부없음),2005,3,0,0.0,2000,2010,2000,16529,33097320,12280625000,6125000,KSQ
421800,KR7421800004,교보12호스팩,KOSDAQ,SPAC(소속부없음),2040,2,-10,-0.49,2050,2050,2040,15079,30815705,12199200000,5980000,KSQ
404950,KR7404950008,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),2095,1,5,0.24,2100,2100,2060,14500,30176330,12147200000,5840000,KSQ
413630,KR7413630005,유진스팩8호,KOSDAQ,SPAC(소속부없음),2055,3,0,0.0,2065,2065,2040,3846,7863560,12106400000,5920000,KSQ
446750,KR7446750002,하나26호스팩,KOSDAQ,SPAC(소속부없음),2000,2,-5,-0.25,2005,2005,2000,20862,41724985,12060000000,6030000,KSQ
00806K,KR700806K010,대덕1우,KOSPI,,9870,2,-30,-0.3,9800,9900,9770,639,6277340,11941716450,1212357,STK
430460,KR7430460006,한화플러스제3호스팩,KOSDAQ,SPAC(소속부없음),2015,1,5,0.25,2010,2015,2000,55662,111800190,11869600000,5920000,KSQ
001067,KR7001062009,JW중외제약2우B,KOSPI,,59100,2,-900,-1.5,58700,59300,58700,44,2592800,11820000000,200000,STK
