Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A108860,¼¿¹Ù½ºAI,20230621,1010,17680,17680,17640,17640,0,8465,149462000,182752,79024,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1009,17680,17690,17670,17680,0,3034,53641000,174959,78352,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1008,17700,17700,17680,17690,0,4358,77093000,172158,78119,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1007,17700,17710,17690,17700,0,4504,79709000,168091,77828,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1006,17720,17720,17700,17700,0,7124,126145000,163748,77667,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1005,17730,17730,17720,17720,0,1778,31514000,156630,77661,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1004,17730,17740,17730,17730,0,1665,29523000,155599,76914,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1003,17730,17740,17730,17730,0,2572,45602000,154220,76628,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1002,17740,17750,17730,17740,0,3477,61671000,151671,76605,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1001,17750,17750,17740,17740,0,1640,29101000,148414,76385,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,1000,17760,17760,17740,17750,0,2349,41694000,147519,75640,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,959,17760,17760,17750,17750,0,837,14858000,145790,75020,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,958,17750,17760,17750,17760,0,496,8804000,145016,74957,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,957,17760,17760,17750,17750,0,2049,36371000,144531,74946,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,956,17750,17760,17750,17760,0,1294,22975000,142584,74844,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,955,17750,17760,17740,17760,0,1088,19309000,141923,74211,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,954,17750,17760,17740,17740,0,2381,42257000,141553,73493,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,953,17760,17770,17750,17750,0,2956,52483000,140344,72321,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,952,17760,17760,17750,17750,0,2685,47664000,137804,71905,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,951,17750,17760,17750,17760,0,4432,78669000,135623,71401,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,950,17750,17760,17750,17750,0,1762,31279000,131222,71370,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,949,17760,17760,17750,17760,0,929,16493000,129811,71019,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,948,17750,17760,17750,17750,0,3307,58727000,129033,70868,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,947,17770,17770,17750,17750,0,5052,89701000,126150,70444,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,946,17780,17780,17760,17760,0,2931,52086000,121449,70093,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,945,17780,17790,17770,17780,0,3500,62232000,119057,69554,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,944,17770,17780,17770,17780,0,2918,51869000,116016,69095,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,943,17770,17780,17770,17770,0,2422,43041000,114345,67848,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,942,17770,17770,17760,17770,0,2976,52863000,113699,66072,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,941,17760,17770,17750,17770,0,5282,93810000,111654,65141,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,940,17790,17790,17760,17760,0,7048,125243000,107140,64373,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,939,17810,17810,17780,17780,0,9056,161190000,100290,64175,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,938,17820,17820,17810,17810,0,1047,18648000,91367,64042,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,937,17810,17820,17810,17810,0,2433,43333000,90455,63907,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,936,17830,17830,17810,17810,0,2663,47454000,88198,63731,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,935,17840,17840,17820,17820,0,2532,45145000,85617,63649,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,934,17850,17850,17830,17830,0,1828,32611000,83818,62916,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,933,17850,17850,17840,17840,0,1196,21344000,82199,62707,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230621,932,17850,17850,17840,17850,0,3612,64454000,81743,61967,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
