Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A338220,ºä³ë,20230621,1040,33450,33450,33300,33300,0,1296,43226000,319283,259211,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1039,33400,33450,33350,33450,0,1353,45203000,318560,258638,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1038,33450,33500,33350,33450,0,2337,78178000,317686,258159,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1037,33350,33450,33350,33450,0,3444,115026000,317270,256238,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1036,33250,33400,33200,33350,0,1462,48734000,316690,253374,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1035,33250,33300,33150,33300,0,1908,63364000,316335,252267,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1034,33150,33300,33100,33250,0,2683,89055000,315104,251590,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1033,33200,33200,33100,33100,0,4033,133604000,314612,249399,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1032,33150,33200,33100,33200,0,1120,37129000,311067,248911,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230621,1031,33200,33200,33150,33150,0,1458,48355000,310232,248626,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
