종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A300080,플리토,20230327,17915,4646,-22802,9,0,0,0,0,-15011,143,98,-7800
A300080,플리토,20230329,3191,13503,-13639,362,0,0,0,-1,0,-2949,-106,-14000
A300080,플리토,20230328,-8511,10506,-1993,8,0,0,0,-1,0,9,-11,-2000
A300080,플리토,20230331,5996,3437,-9648,352,0,0,0,0,0,10,205,-10000
A300080,플리토,20230330,7965,-5956,-2000,0,0,0,0,0,0,10,-19,-2000
A300080,플리토,20230404,-38597,30670,7790,6,0,0,0,0,7784,17,120,0
A300080,플리토,20230403,-28299,28278,2,2,0,0,0,0,0,17,2,0
A300080,플리토,20230406,-23059,12837,8820,-147,0,13267,0,0,-14300,2848,-1446,10000
A300080,플리토,20230405,1360,-1370,0,0,0,0,0,0,0,10,0,0
A300080,플리토,20230407,23746,-21907,-1462,1,0,-2657,0,0,0,-518,141,1194
A300080,플리토,20230410,19022,-16329,-1938,783,0,0,0,0,-8726,-308,-447,6005
A300080,플리토,20230412,21538,-5764,-16065,-1286,0,-5159,0,0,-9620,1788,-1497,0
A300080,플리토,20230411,167,1353,0,0,0,0,0,0,0,100,-1620,0
A300080,플리토,20230414,-18257,14898,2292,150,0,0,0,0,0,812,255,2142
A300080,플리토,20230413,-11902,11291,1,1,0,0,0,0,0,-99,709,0
A300080,플리토,20230418,-99360,70892,34125,-668,0,9733,0,0,0,-4071,-1586,25060
A300080,플리토,20230417,-59322,56893,7313,-670,0,6529,0,0,0,-3558,-1326,1454
A300080,플리토,20230420,-121233,90445,33213,-3656,0,17847,0,0,1573,-2295,-130,17449
A300080,플리토,20230419,-108239,88644,19327,-3716,0,7608,0,0,0,350,-82,15435
A300080,플리토,20230421,-27208,-971,27387,-42,0,22429,0,0,5000,915,-123,0
A300080,플리토,20230424,-12433,629,10780,11173,0,-393,0,0,0,999,25,0
A300080,플리토,20230426,-81566,43269,37012,1836,3945,33100,0,0,-1573,924,361,-296
A300080,플리토,20230425,-35794,22763,17706,1544,2353,15014,0,0,0,-4863,188,-1205
A300080,플리토,20230428,-16484,1988,20833,473,452,12306,0,1,1000,-6076,-261,6601
A300080,플리토,20230427,-27017,11986,21047,476,452,12517,0,1,1000,-5979,-37,6601
A300080,플리토,20230502,-37297,26014,13450,617,0,12833,0,0,0,-2200,33,0
A300080,플리토,20230504,-30925,13986,20949,3916,0,23704,0,0,0,-4039,29,-6671
A300080,플리토,20230503,23682,-19142,-4156,3912,0,-578,0,0,0,-396,12,-7490
A300080,플리토,20230508,-16190,15337,-287,8,0,-295,0,0,0,970,170,0
A300080,플리토,20230510,-145789,111929,38684,-216,0,28653,0,-1,334,-3590,-1234,9914
A300080,플리토,20230509,-121254,102305,24461,-630,0,14844,0,-1,334,-4137,-1375,9914
A300080,플리토,20230512,9299,7507,-16456,-8946,0,-4929,0,0,0,-431,81,-2581
A300080,플리토,20230511,5176,-2609,-1907,663,0,-38,0,0,0,-678,18,-2532
A300080,플리토,20230516,105197,-11710,-97707,8836,0,-88423,0,1,0,2585,1635,-18121
A300080,플리토,20230515,110744,-35931,-76284,-78,0,-60289,0,1,0,118,1353,-15918
A300080,플리토,20230518,6314,10580,-16423,134,0,4143,0,0,0,534,-1005,-20700
A300080,플리토,20230517,12035,6978,-18779,139,0,1782,0,0,0,517,-751,-20700
A300080,플리토,20230519,-6934,-3054,10235,1494,0,8218,0,0,0,-752,505,523
A300080,플리토,20230522,964,-3301,2573,504,0,749,0,0,0,-101,-135,1320
A300080,플리토,20230524,-23156,10626,11266,-4,0,11270,0,0,0,997,267,0
A300080,플리토,20230523,-3517,3321,276,-2,0,278,0,0,0,-201,121,0
A300080,플리토,20230526,-30828,-3080,26684,1786,4538,11893,0,0,5984,6804,420,2483
A300080,플리토,20230525,-42847,11239,25230,1347,4538,11378,0,0,5984,6498,-120,1983
A300080,플리토,20230530,-27971,20594,12358,-343,0,10018,0,0,0,-6644,1663,2683
A300080,플리토,20230601,-1468,-6533,7257,-1211,0,4280,0,-1,0,90,654,4189
A300080,플리토,20230531,6973,-12324,4570,-10,0,1633,0,0,0,-212,993,2947
A300080,플리토,20230602,4416,-4907,-1293,71,0,-1364,0,0,0,-30,1814,0
A300080,플리토,20230605,1547,-566,-2549,-3683,0,1134,0,0,0,1207,361,0
A300080,플리토,20230607,4093,6387,-11467,-21,0,-10532,0,0,0,1092,-105,-914
A300080,플리토,20230609,20228,-11602,-10344,427,0,-11399,0,0,0,1615,103,628
A300080,플리토,20230608,13784,-14314,201,-56,0,257,0,0,0,-76,405,0
A300080,플리토,20230613,-13414,16916,-3182,-1997,2000,-3885,0,1,683,-1196,876,16
A300080,플리토,20230612,-8559,11908,-2929,-1507,2000,-4523,0,1,683,-396,-24,417
A300080,플리토,20230615,16305,2937,-19295,614,0,-16517,0,0,0,-385,438,-3392
A300080,플리토,20230614,16939,2606,-19296,613,0,-16517,0,0,0,-255,6,-3392
A300080,플리토,20230616,-2255,3477,-772,-802,0,30,0,0,0,0,-450,0
A300080,플리토,20230619,7656,-2560,-4484,1,0,-4485,0,0,0,15,-627,0
A300080,플리토,20230621,2775,-4184,1330,6,0,1224,0,0,0,75,4,100
A300080,플리토,20230620,-1214,-10,1224,0,0,1224,0,0,0,0,0,0
A300080,플리토,20230623,-2821,1049,136,1,0,35,0,0,0,-74,1710,100
A300080,플리토,20230622,-2111,411,35,0,0,35,0,0,0,-75,1740,0
