종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A079970,투비소프트,20230425,-179311,188798,171,0,0,171,0,0,0,-6794,-2864,0
A079970,투비소프트,20230428,-81278,498003,-657,0,0,-657,0,0,0,-417482,1414,0
A079970,투비소프트,20230427,150052,104895,-66,0,0,-66,0,0,0,-255051,170,0
A079970,투비소프트,20230502,211924,-149333,0,0,0,0,0,0,0,-50000,-12591,0
A079970,투비소프트,20230504,615048,92198,-487596,-487596,0,0,0,0,0,-218432,-1218,0
A079970,투비소프트,20230503,414401,263627,-487596,-487596,0,0,0,0,0,-188432,-2000,0
A079970,투비소프트,20230508,-346535,298793,-2000,-2000,0,0,0,0,0,50000,-258,0
A079970,투비소프트,20230510,-179512,136028,3109,0,0,3109,0,0,0,40000,375,0
A079970,투비소프트,20230509,-99909,59559,0,0,0,0,0,0,0,40000,350,0
A079970,투비소프트,20230512,96758,-103920,17502,20181,0,-2679,0,0,0,-7000,-3340,0
A079970,투비소프트,20230511,205955,-226021,17072,20181,0,-3109,0,0,0,3000,-6,0
A079970,투비소프트,20230516,-41953,40885,1269,0,0,1269,0,0,0,0,-201,0
A079970,투비소프트,20230515,29302,-29063,-39,0,0,-39,0,0,0,0,-200,0
A079970,투비소프트,20230518,243112,-122705,-1699,0,0,-1699,0,0,0,-130820,12112,0
A079970,투비소프트,20230517,198696,-76789,-1699,0,0,-1699,0,0,0,-130820,10612,0
A079970,투비소프트,20230519,12792,9337,6554,6554,0,0,0,0,0,-29501,818,0
A079970,투비소프트,20230522,-53231,17631,0,0,0,0,0,0,0,35600,0,0
A079970,투비소프트,20230524,-117286,99159,0,0,0,0,0,0,0,31050,-12923,0
A079970,투비소프트,20230523,-20720,21194,0,0,0,0,0,0,0,12500,-12974,0
A079970,투비소프트,20230526,-36874,131255,0,0,0,0,0,0,0,-93880,-501,0
A079970,투비소프트,20230525,-78141,65789,0,0,0,0,0,0,0,12852,-500,0
A079970,투비소프트,20230530,121435,-109466,0,0,0,0,0,0,0,-10870,-1099,0
A079970,투비소프트,20230601,-75617,207017,-96863,-96863,0,0,0,0,0,-35000,463,0
A079970,투비소프트,20230531,-63466,104461,-5995,-5995,0,0,0,0,0,-35000,0,0
A079970,투비소프트,20230602,-126906,177043,-15132,-15132,0,0,0,0,0,-35000,-5,0
A079970,투비소프트,20230605,167091,-165642,0,0,0,0,0,0,0,0,-1449,0
A079970,투비소프트,20230607,30171,-30151,0,0,0,0,0,0,0,-20,0,0
A079970,투비소프트,20230609,-14400,254400,-240181,-240181,0,0,0,0,0,0,181,0
A079970,투비소프트,20230608,-33282,63463,-30181,-30181,0,0,0,0,0,0,0,0
A079970,투비소프트,20230613,44773,185485,-229900,-229900,0,0,0,0,0,961,-1319,0
A079970,투비소프트,20230612,76046,-45726,-30000,-30000,0,0,0,0,0,0,-320,0
A079970,투비소프트,20230615,-145860,1183464,-55786,-55786,0,0,0,0,0,-1050077,68259,0
A079970,투비소프트,20230614,33123,49935,-50100,-50100,0,0,0,0,0,-35961,3003,0
A079970,투비소프트,20230616,194838,-179591,-868,-868,0,0,0,0,0,-11192,-3187,0
A079970,투비소프트,20230619,118481,-116951,0,0,0,0,0,0,0,0,-1530,0
A079970,투비소프트,20230621,81520,-17454,0,0,0,0,0,0,0,-700,-63366,0
A079970,투비소프트,20230620,-39959,41409,0,0,0,0,0,0,0,-700,-750,0
A079970,투비소프트,20230623,203244,-199756,0,0,0,0,0,0,0,-3483,-5,0
A079970,투비소프트,20230622,118621,-115033,0,0,0,0,0,0,0,-3583,-5,0
