¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A338220,∫‰≥Î,20230309,4573,-7925,-17418,5268,0,-1060,0,0,0,20658,112,-21626
A338220,∫‰≥Î,20230308,25192,-24664,-14957,0,0,200,0,0,0,14198,231,-15157
A338220,∫‰≥Î,20230310,-23407,25624,-2268,-2268,0,0,0,0,0,30,21,0
A338220,∫‰≥Î,20230313,-4312,7449,-2700,-3000,0,0,0,0,0,-471,34,300
A338220,∫‰≥Î,20230315,901,12222,-114,-917,0,741,0,0,0,-13852,843,62
A338220,∫‰≥Î,20230314,21447,-27668,-5217,-4917,0,-362,0,0,0,11443,-5,62
A338220,∫‰≥Î,20230317,216336,28427,92788,-4994,14902,22581,0,0,0,-338194,643,60299
A338220,∫‰≥Î,20230316,62562,8670,40910,-173,0,8387,0,0,0,-113354,1212,32696
A338220,∫‰≥Î,20230321,5345,21920,-7152,15597,0,-13262,0,0,0,-18772,-1341,-9487
A338220,∫‰≥Î,20230320,-71242,91673,-22661,10867,0,-2557,0,0,0,707,1523,-30971
A338220,∫‰≥Î,20230323,116481,-78574,-40350,-261,0,-5874,0,0,0,2228,215,-34215
A338220,∫‰≥Î,20230322,63716,-52615,-11974,5,0,-3269,0,0,0,728,145,-8710
A338220,∫‰≥Î,20230324,-29757,39988,-20755,-6925,0,-4994,0,0,0,9587,937,-8836
A338220,∫‰≥Î,20230327,27045,-24720,5243,521,0,3441,0,0,0,-6835,-733,1281
A338220,∫‰≥Î,20230329,-70729,5224,49508,14145,0,6984,0,0,0,15948,49,28379
A338220,∫‰≥Î,20230328,16611,-17254,401,38,0,0,0,0,0,200,42,363
A338220,∫‰≥Î,20230331,16557,-22910,7759,-8415,5725,689,0,0,0,-1399,-7,9760
A338220,∫‰≥Î,20230330,-11442,-3747,15463,0,5725,689,0,0,0,-457,183,9049
A338220,∫‰≥Î,20230404,-218815,103170,118868,-1030,0,31263,0,0,0,-3276,53,88635
A338220,∫‰≥Î,20230403,-70982,10574,59922,-1430,0,32474,0,0,0,500,-14,28878
A338220,∫‰≥Î,20230406,-68989,-47967,149838,-340,598,165492,0,-19916,0,-32506,-376,4004
A338220,∫‰≥Î,20230405,-69339,8511,91624,1339,0,89468,0,-19916,0,-30684,-112,20733
A338220,∫‰≥Î,20230407,17642,-20491,3148,-5368,407,301,0,0,0,-200,-99,7808
A338220,∫‰≥Î,20230410,-8593,-31427,41124,-2191,9263,1488,0,0,0,-420,-684,32564
A338220,∫‰≥Î,20230412,-216469,3113,167105,46957,0,60217,0,-19916,0,46080,171,79847
