종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A347860,알체라,20230309,97876,50461,-145199,-17831,-4293,-41488,0,0,-80901,-2088,-1050,-686
A347860,알체라,20230308,118789,14015,-127596,-1855,-4293,-40993,0,0,-80901,-3567,-1641,446
A347860,알체라,20230310,-26044,-7370,33082,-14407,0,33467,0,0,0,-603,935,14022
A347860,알체라,20230313,-233802,43934,184325,10219,0,45324,0,0,0,3856,1687,128782
A347860,알체라,20230315,13725,-18305,6800,1663,0,-4175,0,0,0,-979,-1241,9312
A347860,알체라,20230314,-1138,-9463,13815,1653,0,-4068,0,0,0,-1654,-1560,16230
A347860,알체라,20230317,-53417,78694,-24904,-1697,0,-26241,0,0,0,-3658,3285,3034
A347860,알체라,20230316,58024,-6608,-51363,-1686,0,-35634,0,0,0,-1966,1913,-14043
A347860,알체라,20230321,120674,-43795,-75135,-19848,0,-19576,0,0,0,-3313,1569,-35711
A347860,알체라,20230320,97006,-49304,-42991,-7576,0,-1661,0,0,0,-3363,-1348,-33754
A347860,알체라,20230323,122804,-11185,-105245,-10547,0,-25153,0,0,0,-3902,-2472,-69545
A347860,알체라,20230322,-127462,107152,21443,-2800,0,28164,0,0,0,-1013,-120,-3921
A347860,알체라,20230324,147413,-49504,-98277,-6039,0,-33895,0,0,0,-1201,1569,-58343
A347860,알체라,20230327,-14894,11510,1005,81,0,-2801,0,0,0,3160,-781,3725
A347860,알체라,20230329,-21186,16983,3698,-84,0,209,0,0,0,170,335,3573
A347860,알체라,20230328,5710,-9514,3714,-68,0,209,0,0,0,-29,119,3573
A347860,알체라,20230331,53819,-34258,-17034,13615,0,-12156,0,0,0,-604,-1923,-18493
A347860,알체라,20230330,15736,-2411,-14028,-18000,0,348,0,0,0,270,433,3624
A347860,알체라,20230404,-10953,11009,401,-7027,0,2133,0,0,0,-990,533,5295
A347860,알체라,20230403,-60242,52199,8229,4606,0,2084,0,0,0,71,-257,1539
A347860,알체라,20230406,-14566,38315,-24829,-16974,0,-515,0,0,0,45,1035,-7340
A347860,알체라,20230405,-26728,25860,111,111,0,0,0,0,0,306,451,0
A347860,알체라,20230407,-6260,6285,-1334,-1334,0,0,0,0,0,300,1009,0
A347860,알체라,20230410,15608,-13732,-44,-44,0,0,0,0,0,-2179,347,0
A347860,알체라,20230412,-28295,14558,-266,-266,0,0,0,0,0,4421,9582,0
A347860,알체라,20230411,-30294,23218,0,0,0,0,0,0,0,3171,3905,0
A347860,알체라,20230414,-18720,7176,9656,321,0,700,0,0,0,-551,2439,8635
A347860,알체라,20230413,-19415,134,18927,18927,0,0,0,0,0,-1200,1554,0
A347860,알체라,20230418,32176,-29292,-779,-79,0,-700,0,0,0,-139,-1966,0
A347860,알체라,20230417,18738,-15834,-694,6,0,-700,0,0,0,-587,-1623,0
A347860,알체라,20230420,-21040,31039,-9196,-350,0,-4768,0,0,0,-3389,2586,-4078
A347860,알체라,20230419,-26582,20354,9278,-40,0,684,0,0,0,-3389,339,8634
A347860,알체라,20230421,-40820,41010,-20,-20,0,0,0,0,0,399,-569,0
A347860,알체라,20230424,-21180,7668,13538,13538,0,0,0,0,0,0,-26,0
A347860,알체라,20230426,-24486,24258,-21,-21,0,0,0,0,0,126,123,0
A347860,알체라,20230425,-6155,725,45,-13,0,58,0,0,0,5126,259,0
A347860,알체라,20230428,14758,-10101,-30,-30,0,0,0,0,0,-5126,499,0
A347860,알체라,20230427,24319,-25072,-24,-24,0,0,0,0,0,0,777,0
A347860,알체라,20230502,-36570,38743,3532,3532,0,0,0,0,0,13,-5718,0
A347860,알체라,20230504,-32568,46600,-14711,-14713,0,0,0,2,0,631,48,0
A347860,알체라,20230503,-12802,14479,-1709,-1709,0,0,0,0,0,20,12,0
A347860,알체라,20230508,-41124,41290,-592,-591,0,0,0,-1,0,600,-174,0
A347860,알체라,20230510,-21866,5717,12965,-1762,0,0,0,-1,0,1888,1296,14728
A347860,알체라,20230509,37175,-38284,-22,-21,0,0,0,-1,0,0,1131,0
A347860,알체라,20230512,130893,-117330,-14977,-249,0,-2019,0,0,0,512,902,-12709
A347860,알체라,20230511,110092,-95540,-14967,-239,0,-2019,0,0,0,167,248,-12709
A347860,알체라,20230516,7905,-16906,8398,-105,0,10503,0,0,0,800,-197,-2000
A347860,알체라,20230515,-1710,-6643,8579,76,0,10503,0,0,0,500,-726,-2000
A347860,알체라,20230518,-36277,38947,-111,-111,0,0,0,0,0,-1966,-593,0
A347860,알체라,20230517,-14804,15336,-31,-31,0,0,0,0,0,-100,-401,0
A347860,알체라,20230519,-73750,74269,92,92,0,0,0,0,0,-599,-12,0
A347860,알체라,20230522,67751,-57462,-10622,-10622,0,0,0,0,0,-150,483,0
A347860,알체라,20230524,51294,-49516,-204,-204,0,0,0,0,0,-1844,270,0
A347860,알체라,20230523,-14910,14933,-83,-83,0,0,0,0,0,0,60,0
A347860,알체라,20230526,25472,-26326,-79,-79,0,0,0,0,0,581,352,0
A347860,알체라,20230525,14459,-15229,-62,-62,0,0,0,0,0,432,400,0
A347860,알체라,20230530,-15117,19638,-4457,1062,0,-4846,0,0,0,0,-64,-673
A347860,알체라,20230601,-544,4481,-4524,460,0,-4984,0,0,0,5,582,0
A347860,알체라,20230531,-7754,12288,-4677,307,0,-4984,0,0,0,5,138,0
A347860,알체라,20230602,-7763,7599,25,8,0,0,0,0,0,0,139,17
A347860,알체라,20230605,-10510,10338,11,11,0,0,0,0,0,670,-509,0
A347860,알체라,20230607,29269,-31825,-9,-9,0,0,0,0,0,2412,153,0
A347860,알체라,20230609,1028,-1075,-167,-117,0,0,0,0,0,-157,371,-50
A347860,알체라,20230608,9637,-10413,-154,-104,0,0,0,0,0,813,117,-50
A347860,알체라,20230613,-110325,112085,-2,-2,0,0,0,0,0,389,-2147,0
A347860,알체라,20230612,-66981,66910,39,39,0,0,0,0,0,879,-847,0
A347860,알체라,20230615,-61670,63652,1976,-171,0,1180,0,1,0,-839,-3119,966
A347860,알체라,20230614,-53407,51787,3094,-126,0,2253,0,1,0,61,-1535,966
A347860,알체라,20230616,53649,-53731,-111,-77,0,27,0,0,0,200,-7,-61
A347860,알체라,20230619,13115,-13319,321,251,0,0,0,0,0,-279,162,70
A347860,알체라,20230621,40179,-40848,283,283,0,0,0,0,0,403,-17,0
A347860,알체라,20230620,18695,-17980,7,7,0,0,0,0,0,-78,-644,0
A347860,알체라,20230623,24408,-24995,-8,-8,0,0,0,0,0,400,195,0
A347860,알체라,20230622,13017,-13706,-16,-16,0,0,0,0,0,100,605,0
