종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A300080,플리토,20230622,1928,-3763,141,6,0,35,0,0,0,0,1694,100
A300080,플리토,20230621,3989,-4174,106,6,0,0,0,0,0,75,4,100
