종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A338220,뷰노,20230622,-22689,-7688,30833,3716,5337,13546,0,0,4353,-4480,4024,3881
A338220,뷰노,20230621,-19642,-337,26080,-814,5116,13252,0,0,986,-7632,1531,7540
