,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
315,007700,KR7007700008,F&F홀딩스,KOSPI,,20050,1,130,0.65,19920,20250,19920,14890,298700430,784243058350,39114367,STK
316,101670,KR7101670008,하이드로리튬,KOSDAQ,벤처기업부,34900,2,-1200,-3.32,36100,36200,34200,436684,15248515750,779433949900,22333351,KSQ
317,192080,KR7192080000,더블유게임즈,KOSPI,,42350,1,350,0.83,42000,42750,41750,42168,1780044150,770378558950,18190757,STK
318,033240,KR7033240003,자화전자,KOSPI,,35100,1,550,1.59,34550,35500,34200,184699,6456551100,764382528000,21777280,STK
319,046890,KR7046890000,서울반도체,KOSDAQ GLOBAL,우량기업부,13100,1,170,1.31,13180,13190,12850,1166309,15198865970,763800740000,58305400,KSQ
320,140410,KR7140410002,메지온,KOSDAQ,중견기업부,28400,1,1800,6.77,27000,28700,26800,598300,16814871000,759473311200,26742018,KSQ
321,084370,KR7084370006,유진테크,KOSDAQ GLOBAL,우량기업부,33000,3,0,0.0,33050,33200,32200,218220,7143525250,756229386000,22916042,KSQ
322,052020,KR7052020005,에스티큐브,KOSDAQ,벤처기업부,16340,1,540,3.42,15930,16340,15710,408904,6593055060,756190706340,46278501,KSQ
323,290650,KR7290650001,엘앤씨바이오,KOSDAQ,벤처기업부,33250,2,-1100,-3.2,34600,35900,33050,381431,13040038850,754272625750,22684891,KSQ
324,215000,KR7215000001,골프존,KOSDAQ GLOBAL,우량기업부,120000,1,3300,2.83,117900,123400,117800,84503,10259660300,753049800000,6275415,KSQ
325,002350,KR7002350007,넥센타이어,KOSPI,,7630,2,-20,-0.26,7650,7770,7630,109964,845742810,745205901510,97667877,STK
326,064960,KR7064960008,SNT모티브,KOSPI,,50900,2,-200,-0.39,51200,52200,50600,15133,773315200,744317622400,14623136,STK
327,005950,KR7005950001,이수화학,KOSPI,,33100,2,-150,-0.45,35500,36250,33000,6029013,209937104200,743121314500,22450795,STK
328,460860,KR7460860000,동국제강,KOSPI,,14840,1,3070,26.08,11770,15300,10060,22667871,310283512270,736182972280,49608017,STK
329,003030,KR7003030004,세아제강지주,KOSPI,,177300,1,8400,4.97,170200,177900,168300,15914,2781580400,734315786100,4141657,STK
330,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,33100,1,200,0.61,33050,33650,32650,378476,12559752350,734070616000,22177360,KSQ
331,095500,KR7095500005,미래나노텍,KOSDAQ,우량기업부,23650,2,-250,-1.05,24050,24100,23450,676375,16054992900,733386476350,31009999,KSQ
332,015750,KR7015750003,성우하이텍,KOSDAQ,우량기업부,9160,1,20,0.22,9150,9240,9060,1323193,12106636700,732800000000,80000000,KSQ
333,114190,KR7114190002,강원에너지,KOSDAQ,중견기업부,28000,2,-550,-1.93,28250,28600,27600,550580,15450697400,731445064000,26123038,KSQ
334,344820,KR7344820006,KCC글라스,KOSPI,,45550,1,700,1.56,44650,45550,44650,20820,937992300,727456821600,15970512,STK
335,215200,KR7215200007,메가스터디교육,KOSDAQ GLOBAL,우량기업부,61300,2,-500,-0.81,62400,62800,61200,28264,1741241200,727133244000,11861880,KSQ
336,003240,KR7003240009,태광산업,KOSPI,,650000,2,-2000,-0.31,653000,653000,649000,814,529360000,723710000000,1113400,STK
337,082740,KR7082740002,HSD엔진,KOSPI,,10050,1,150,1.52,9970,10150,9770,1257927,12579405180,719017139700,71543994,STK
338,073570,KR7073570004,리튬포어스,KOSDAQ,중견기업부,24900,2,-700,-2.73,25600,25600,24250,769018,19105234350,718791412500,28867125,KSQ
