Date,Open,High,Low,Close,Adj Close,Volume
2000-10-16,858.5,873.900024,851.299988,867.099976,867.099976,193900.0
2000-10-17,849.599976,860.099976,791.099976,804.0,804.0,218200.0
2000-10-18,788.5,811.400024,758.200012,802.599976,802.599976,241000.0
2000-10-19,793.599976,820.400024,786.900024,798.400024,798.400024,204500.0
2000-10-20,834.700012,840.900024,822.5,826.200012,826.200012,221900.0
2000-10-23,820.0,829.799988,794.400024,796.400024,796.400024,182400.0
2000-10-24,793.599976,809.799988,784.799988,808.900024,808.900024,204700.0
2000-10-25,805.0,816.200012,801.700012,808.599976,808.599976,214500.0
2000-10-26,793.799988,802.0,785.400024,793.799988,793.799988,195700.0
2000-10-27,806.400024,810.099976,780.5,783.700012,783.700012,222800.0
2000-10-30,776.400024,779.799988,735.200012,741.799988,741.799988,167700.0
2000-10-31,719.299988,748.0,676.900024,746.799988,746.799988,225500.0
2000-11-01,762.0,771.099976,756.799988,763.599976,763.599976,240400.0
2000-11-02,758.0,790.099976,755.700012,782.5,782.5,253100.0
2000-11-03,800.700012,809.799988,788.200012,795.400024,795.400024,242400.0
2000-11-06,794.0,816.900024,792.099976,804.599976,804.599976,246700.0
2000-11-07,803.900024,810.299988,790.599976,796.299988,796.299988,276200.0
2000-11-08,793.799988,804.5,784.200012,793.099976,793.099976,238400.0
2000-11-09,785.299988,801.099976,785.299988,801.099976,801.099976,211900.0
2000-11-10,800.5,810.900024,798.400024,808.299988,808.299988,246800.0
2000-11-13,797.200012,798.0,775.799988,780.700012,780.700012,243200.0
2000-11-14,782.299988,800.900024,782.299988,800.900024,800.900024,287900.0
2000-11-15,819.299988,834.400024,808.400024,816.400024,816.400024,368400.0
2000-11-16,821.099976,822.0,798.299988,808.599976,808.599976,293800.0
2000-11-17,801.599976,812.5,798.099976,806.799988,806.799988,285700.0
2000-11-20,802.0,810.5,797.299988,801.700012,801.700012,281200.0
2000-11-21,789.299988,791.5,763.099976,787.0,787.0,312700.0
2000-11-22,782.400024,793.599976,770.0,771.299988,771.299988,299900.0
2000-11-23,756.599976,758.400024,724.099976,728.299988,728.299988,290000.0
2000-11-24,726.0,739.400024,713.099976,735.0,735.0,263900.0
2000-11-27,746.099976,759.400024,745.599976,759.400024,759.400024,276700.0
2000-11-28,750.200012,750.200012,722.5,725.0,725.0,270700.0
2000-11-29,699.0,699.0,681.099976,684.5,684.5,261800.0
2000-11-30,682.099976,687.5,647.599976,672.599976,672.599976,308300.0
2000-12-01,640.799988,678.099976,640.799988,678.099976,678.099976,341100.0
2000-12-04,686.200012,691.099976,661.900024,663.799988,663.799988,327300.0
2000-12-05,664.5,670.299988,654.5,669.599976,669.599976,334500.0
2000-12-06,695.400024,706.0,671.700012,675.400024,675.400024,402400.0
2000-12-07,667.400024,684.799988,666.900024,677.200012,677.200012,299600.0
2000-12-08,678.200012,686.099976,672.799988,684.099976,684.099976,310000.0
2000-12-11,697.0,711.099976,696.0,711.099976,711.099976,289200.0
2000-12-12,715.200012,716.900024,693.599976,697.700012,697.700012,304800.0
2000-12-13,695.299988,707.599976,692.700012,707.5,707.5,294000.0
2000-12-14,698.0,712.299988,696.099976,708.5,708.5,307600.0
2000-12-15,698.799988,714.0,676.400024,679.400024,679.400024,270900.0
2000-12-18,667.0,671.200012,660.099976,665.700012,665.700012,222500.0
2000-12-19,661.799988,664.0,630.400024,634.0,634.0,283800.0
2000-12-20,616.700012,616.700012,586.0,589.799988,589.799988,235700.0
2000-12-21,558.5,573.5,544.0,560.599976,560.599976,218200.0
2000-12-22,561.299988,569.200012,520.099976,526.700012,526.700012,203500.0
2000-12-25,,,,,,
2000-12-26,526.099976,529.200012,516.5,525.799988,525.799988,180600.0
2000-12-27,,,,,,
2000-12-28,,,,,,
2000-12-29,,,,,,
2001-01-01,,,,,,
