Date,Open,High,Low,Close,Adj Close,Volume
1996-12-11,705.98999,709.47998,704.429993,704.679993,704.679993,28000.0
1996-12-12,705.109985,706.01001,688.73999,689.380005,689.380005,25900.0
1996-12-13,690.440002,695.719971,677.640015,689.070007,689.070007,26500.0
1996-12-16,686.969971,686.969971,667.710022,673.919983,673.919983,22800.0
1996-12-17,675.349976,680.090027,660.390015,663.349976,663.349976,31600.0
1996-12-18,662.070007,671.429993,655.469971,661.390015,661.390015,31500.0
1996-12-19,668.130005,690.969971,668.130005,690.969971,690.969971,30400.0
1996-12-20,695.330017,703.51001,692.469971,700.869995,700.869995,30000.0
1996-12-23,691.97998,697.119995,684.809998,684.809998,684.809998,21500.0
1996-12-24,683.109985,687.059998,677.559998,677.76001,677.76001,23800.0
1996-12-25,,,,,,
1996-12-26,676.210022,676.210022,655.23999,659.01001,659.01001,25500.0
1996-12-27,654.820007,657.039978,643.570007,651.219971,651.219971,35100.0
1996-12-30,,,,,,
1996-12-31,,,,,,
1997-01-01,,,,,,
1997-01-02,,,,,,
1997-01-03,647.669983,655.700012,635.409973,653.789978,653.789978,13900.0
1997-01-06,637.97998,637.97998,625.01001,626.869995,626.869995,17600.0
1997-01-07,622.450012,627.609985,609.119995,611.049988,611.049988,24100.0
1997-01-08,608.530029,623.390015,600.559998,621.409973,621.409973,34200.0
1997-01-09,619.099976,640.809998,612.409973,639.869995,639.869995,36100.0
1997-01-10,637.98999,653.590027,636.809998,648.690002,648.690002,36500.0
1997-01-13,659.809998,664.950012,655.73999,659.539978,659.539978,28700.0
1997-01-14,656.669983,687.659973,656.669983,686.590027,686.590027,36600.0
1997-01-15,690.179993,699.76001,686.02002,699.76001,699.76001,42000.0
1997-01-16,701.640015,711.960022,694.390015,711.859985,711.859985,47300.0
1997-01-17,713.070007,720.409973,695.77002,701.179993,701.179993,48200.0
1997-01-20,697.559998,720.690002,697.559998,718.460022,718.460022,43000.0
1997-01-21,721.039978,721.789978,690.539978,690.539978,690.539978,44300.0
1997-01-22,686.710022,686.890015,671.909973,678.940002,678.940002,36700.0
1997-01-23,679.340027,685.140015,672.72998,676.909973,676.909973,31000.0
1997-01-24,669.030029,679.559998,658.179993,679.559998,679.559998,35500.0
1997-01-27,684.309998,685.460022,664.679993,664.700012,664.700012,28300.0
1997-01-28,661.659973,677.630005,653.419983,662.849976,662.849976,30400.0
1997-01-29,663.330017,672.900024,654.950012,663.559998,663.559998,30200.0
1997-01-30,663.650024,679.039978,662.27002,676.52002,676.52002,28800.0
1997-01-31,678.190002,687.98999,678.169983,685.840027,685.840027,32000.0
1997-02-03,682.26001,696.210022,681.01001,687.25,687.25,27300.0
1997-02-04,687.840027,696.23999,687.840027,695.950012,695.950012,33100.0
1997-02-05,698.179993,708.200012,697.950012,698.599976,698.599976,38600.0
1997-02-06,698.539978,704.440002,693.820007,700.219971,700.219971,34100.0
1997-02-07,,,,,,
1997-02-10,701.429993,709.799988,701.429993,709.789978,709.789978,29300.0
1997-02-11,711.109985,713.880005,707.859985,713.429993,713.429993,41400.0
1997-02-12,714.820007,715.869995,708.719971,712.5,712.5,35300.0
1997-02-13,713.640015,726.130005,713.640015,716.710022,716.710022,49800.0
1997-02-14,717.289978,723.02002,715.0,721.0,721.0,39100.0
1997-02-17,720.419983,721.5,712.929993,712.929993,712.929993,31500.0
1997-02-18,712.619995,715.179993,703.98999,706.940002,706.940002,30400.0
1997-02-19,708.640015,713.669983,706.580017,713.669983,713.669983,31100.0
1997-02-20,713.5,716.179993,707.830017,711.130005,711.130005,35000.0
1997-02-21,710.869995,711.75,686.710022,686.719971,686.719971,30800.0
1997-02-24,681.47998,686.940002,676.109985,676.590027,676.590027,24100.0
1997-02-25,676.72998,682.809998,670.409973,682.809998,682.809998,25300.0
1997-02-26,683.590027,691.27002,679.659973,679.710022,679.710022,29900.0
1997-02-27,678.109985,679.799988,668.710022,669.409973,669.409973,30300.0
1997-02-28,669.01001,679.070007,664.75,676.530029,676.530029,37800.0
1997-03-03,677.179993,684.440002,677.179993,679.640015,679.640015,27000.0
1997-03-04,679.51001,683.320007,675.820007,679.969971,679.969971,28100.0
1997-03-05,680.47998,684.549988,673.630005,674.900024,674.900024,38800.0
1997-03-06,675.25,685.950012,675.25,678.109985,678.109985,41300.0
1997-03-07,679.830017,685.26001,679.830017,681.219971,681.219971,37400.0
1997-03-10,673.909973,674.289978,667.289978,667.349976,667.349976,29400.0
1997-03-11,665.830017,665.830017,654.919983,655.950012,655.950012,29800.0
1997-03-12,655.76001,663.900024,655.070007,663.900024,663.900024,30000.0
1997-03-13,663.909973,666.26001,656.859985,657.900024,657.900024,32100.0
1997-03-14,657.72998,657.97998,641.830017,642.080017,642.080017,27600.0
1997-03-17,642.169983,658.940002,641.039978,658.900024,658.900024,28400.0
1997-03-18,659.72998,663.700012,653.25,657.969971,657.969971,30500.0
